sample_id	donor_id	tissue	ex5_6	ex6_7	log_ex5_6	log_ex6_7
"GTEX-14LZ3-0011-R8b-SM-COH3M"	"GTEX-14LZ3"	"Brain - Hypothalamus"	60	48	4.11087386417331	3.89182029811063
"GTEX-14LZ3-3026-SM-5ZZVU"	"GTEX-14LZ3"	"Brain - Cortex"	57	44	4.06044301054642	3.80666248977032
"GTEX-14PHW-0011-R6b-SM-5YYAR"	"GTEX-14PHW"	"Brain - Nucleus accumbens (basal ganglia)"	20	20	3.04452243772342	3.04452243772342
"GTEX-14PJM-0011-R10a-SM-686ZP"	"GTEX-14PJM"	"Brain - Frontal Cortex (BA9)"	38	41	3.66356164612965	3.73766961828337
"GTEX-14PJM-0011-R1a-SM-CNPO3"	"GTEX-14PJM"	"Brain - Hippocampus"	29	26	3.40119738166216	3.29583686600433
"GTEX-14PJM-0011-R3b-SM-5ZZV9"	"GTEX-14PJM"	"Brain - Anterior cingulate cortex (BA24)"	36	40	3.61091791264422	3.71357206670431
"GTEX-14PJM-0011-R4a-SM-5YYAS"	"GTEX-14PJM"	"Brain - Amygdala"	50	54	3.93182563272433	4.00733318523247
"GTEX-14PJM-0011-R6a-SM-6872G"	"GTEX-14PJM"	"Brain - Nucleus accumbens (basal ganglia)"	68	51	4.23410650459726	3.95124371858143
"GTEX-14PJM-0011-R7a-SM-6AJBX"	"GTEX-14PJM"	"Brain - Putamen (basal ganglia)"	24	22	3.2188758248682	3.13549421592915
"GTEX-14PJM-0011-R8b-SM-69LPD"	"GTEX-14PJM"	"Brain - Hypothalamus"	24	19	3.2188758248682	2.99573227355399
"GTEX-14PJM-0011-R9b-SM-6EU35"	"GTEX-14PJM"	"Brain - Spinal cord (cervical c-1)"	106	71	4.67282883446191	4.27666611901606
"GTEX-14PJM-3026-SM-6LLHM"	"GTEX-14PJM"	"Brain - Cerebellum"	31	20	3.46573590279973	3.04452243772342
"GTEX-14PJM-3126-SM-6EU2R"	"GTEX-14PJM"	"Brain - Cortex"	66	62	4.20469261939097	4.14313472639153
"GTEX-14PJO-0011-R10a-SM-686ZS"	"GTEX-14PJO"	"Brain - Frontal Cortex (BA9)"	17	15	2.89037175789616	2.77258872223978
"GTEX-14PJO-0011-R1b-SM-6AJAK"	"GTEX-14PJO"	"Brain - Hippocampus"	33	23	3.52636052461616	3.17805383034795
"GTEX-14PJO-0011-R2a-SM-5ZZVF"	"GTEX-14PJO"	"Brain - Substantia nigra"	29	21	3.40119738166216	3.09104245335832
"GTEX-14PJO-0011-R3a-SM-6AJBY"	"GTEX-14PJO"	"Brain - Anterior cingulate cortex (BA24)"	30	33	3.43398720448515	3.52636052461616
"GTEX-14PJO-0011-R5a-SM-6AJBZ"	"GTEX-14PJO"	"Brain - Caudate (basal ganglia)"	47	27	3.87120101090789	3.3322045101752
"GTEX-14PJO-0011-R7a-SM-664NR"	"GTEX-14PJO"	"Brain - Putamen (basal ganglia)"	46	46	3.85014760171006	3.85014760171006
"GTEX-14PJO-0011-R8a-SM-6AJAL"	"GTEX-14PJO"	"Brain - Hypothalamus"	23	18	3.17805383034795	2.94443897916644
"GTEX-14PJO-0011-R9b-SM-62LE9"	"GTEX-14PJO"	"Brain - Spinal cord (cervical c-1)"	135	92	4.91265488573605	4.53259949315326
"GTEX-14PJO-2926-SM-686ZI"	"GTEX-14PJO"	"Brain - Cerebellum"	41	21	3.73766961828337	3.09104245335832
"GTEX-14PN4-0011-R10b-SM-69LP2"	"GTEX-14PN4"	"Brain - Frontal Cortex (BA9)"	69	52	4.24849524204936	3.97029191355212
"GTEX-14PN4-0011-R11a-SM-686ZW"	"GTEX-14PN4"	"Brain - Cerebellar Hemisphere"	17	13	2.89037175789616	2.63905732961526
"GTEX-14PN4-0011-R1b-SM-69LP8"	"GTEX-14PN4"	"Brain - Hippocampus"	75	54	4.33073334028633	4.00733318523247
"GTEX-14PN4-0011-R2a-SM-6EU2Y"	"GTEX-14PN4"	"Brain - Substantia nigra"	54	48	4.00733318523247	3.89182029811063
